theta,rho,row_sum_error,P_inf_norm,inner_count,outer_count,annulus_count,family_lower,family_upper
0.89,0.9985573595861484,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.895,0.9986437623001447,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.9,0.9987311996396393,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.905,0.9988196743648445,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.91,0.9989091918735842,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.915,0.9989997598649387,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.92,0.9990913880329916,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.925,0.9991840877918261,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.93,0.9992778720321446,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.935,0.9993727549089064,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.9400000000000001,0.9994687516590386,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.9450000000000001,0.9995658784476305,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.9500000000000001,0.9996641522408902,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.9550000000000001,0.9997635907036941,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.96,0.999864212119493,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.965,0.9999660353301398,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.97,1.000069079693115,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.975,1.0001733650535745,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.98,1.0002789117286532,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.985,1.000385740501502,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.99,1.000493872622733,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.995,1.0006033298170043,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
1.0,1.0007141342930006,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
