c,rho_min,rho_max,upper,lower,symmetric_upper,separated,regime
0.78,0.8004292851735325,0.8013516069055419,0.8365564437074638,0.7159338662244783,0.8440661337755218,1,universal_recovery
0.7849999999999999,0.8054381500887065,0.8063500102966621,0.8413535013189619,0.7214203373139372,0.8485796626860627,1,universal_recovery
0.7899999999999999,0.8104469079181559,0.8113484646562925,0.846155281280883,0.7268857754044951,0.8531142245955048,1,universal_recovery
0.7949999999999999,0.8154555599608938,0.8163469688579117,0.8509616271643297,0.7323316217259878,0.8576683782740121,1,universal_recovery
0.7999999999999999,0.8204641075235584,0.8213455217899759,0.8557723890835799,0.7377591804735175,0.8622408195264823,1,universal_recovery
0.8049999999999999,0.8254725519180716,0.8263441223566669,0.8605874233736004,0.7431696355121513,0.8668303644878486,1,universal_recovery
0.8099999999999999,0.8304808944594423,0.8313427694785078,0.8654065922853802,0.7485640646055102,0.8714359353944897,1,universal_recovery
0.815,0.8354891364638114,0.8363414620929094,0.8702297636980301,0.7539434515981563,0.8760565484018435,1,universal_recovery
0.82,0.8404972792466416,0.8413401991545877,0.8750568108466539,0.7593086968966181,0.8806913031033818,1,universal_recovery
0.825,0.8455053241210853,0.8463389796359364,0.8798876120650608,0.7646606265276144,0.8853393734723856,1,universal_recovery
0.83,0.8505132723964912,0.8513378025272873,0.8847220505424424,0.77,0.8899999999999999,1,universal_recovery
0.835,0.8555211253770588,0.8563366668371339,0.8895600140931907,0.7753275171557792,0.8946724828442207,1,universal_recovery
0.84,0.8605288843606179,0.861335571592277,0.8944013949390892,0.7806438241627338,0.8993561758372661,1,universal_recovery
0.845,0.8655365506375201,0.866334515837913,0.8992460895031457,0.7859495187749083,0.9040504812250917,1,universal_recovery
0.85,0.870544125489649,0.8713334986376905,0.9040939982143925,0.791245154965971,0.9087548450340289,1,universal_recovery
0.855,0.875551610189523,0.8763325190737001,0.9089450253230125,0.7965312470232425,0.9134687529767574,1,universal_recovery
0.86,0.8805590059994904,0.8813315762464456,0.9137990787251911,0.8018082731761228,0.9181917268238772,1,universal_recovery
0.865,0.8855663141710161,0.8863306692747671,0.9186560697971337,0.8070766788211162,0.9229233211788838,1,universal_recovery
0.8699999999999999,0.8905735359440466,0.8913297972957339,0.9235159132377183,0.8123368793961407,0.927663120603859,1,universal_recovery
0.875,0.8955806725464417,0.8963289594645176,0.92837852691929,0.8175892629489313,0.9324107370510687,1,universal_recovery
0.8799999999999999,0.9005877251934682,0.9013281549542344,0.9332438317461281,0.8228341924377873,0.9371658075622125,1,universal_recovery
0.885,0.9055946950873779,0.906327382955761,0.9381117515201552,0.8280720077974435,0.9419279922025565,1,universal_recovery
0.8899999999999999,0.9106015834170168,0.9113266426775484,0.9429822128134703,0.8333030277982335,0.9466969722017663,1,universal_recovery
0.895,0.9156083913574938,0.9163259333453988,0.9478551448473284,0.8385275517228564,0.9514724482771436,1,universal_recovery
0.8999999999999999,0.920615120069913,0.921325254202239,0.9527304793771973,0.8437458608817686,0.9562541391182312,1,universal_recovery
0.905,0.9256217707011221,0.9263246045078862,0.9576081505835602,0.848958219985458,0.9610417800145421,1,universal_recovery
0.9099999999999999,0.9306283443835265,0.9313239835387958,0.9624880949681337,0.8541648783894759,0.965835121610524,1,universal_recovery
0.915,0.9356348422349258,0.9363233905877976,0.9673702512552137,0.8593660712261003,0.9706339287738998,1,universal_recovery
0.9199999999999999,0.9406412653583887,0.9413228249638257,0.9722545602978553,0.8645620204347509,0.9754379795652489,1,universal_recovery
0.925,0.9456476148421611,0.946322285991661,0.9771409649886309,0.8697529357018089,0.9802470642981912,1,universal_recovery
0.9299999999999999,0.9506538917595884,0.9513217730116408,0.9820294101747089,0.8749390153191919,0.9850609846808079,1,universal_recovery
0.9349999999999999,0.9556600971691078,0.9563212853793825,0.9869198425770265,0.8801204469699455,0.9898795530300544,1,universal_recovery
0.94,0.9606662321141819,0.9613208224654937,0.9918122107133281,0.8852974084481309,0.994702591551869,1,universal_recovery
0.945,0.9656722976233535,0.9663203836552944,0.9967064648248676,0.8904700683194706,0.9995299316805293,1,universal_recovery
0.95,0.9706782947102429,0.9713199683485302,1.0016025568065745,0.8956385865284782,1.0043614134715217,1,intermediate
0.955,0.9756842243735961,0.9763195759590795,1.006500440140504,0.9008031149571623,1.0091968850428377,1,intermediate
0.96,0.980690087597349,0.9813192059146678,1.0114000698323937,0.9059637979398435,1.0140362020601563,1,intermediate
0.965,0.9856958853507033,0.9863188576565911,1.0163014023511658,0.9111207727381336,1.0188792272618663,1,intermediate
0.97,0.9907016185881995,0.9913185306394173,1.0212043955712207,0.9162741699796952,1.0237258300203047,1,intermediate
0.975,0.9957072882498388,0.9963182243307162,1.0261090087173756,0.9214241140640278,1.0285758859359722,1,intermediate
0.98,1.0007128952611781,1.0013179382107769,1.0310152023123136,0.9265707235381881,1.0334292764618118,1,intermediate
0.985,1.0057184405334556,1.006317671772324,1.0359229381264115,0.9317141114450621,1.0382858885549378,1,intermediate
0.99,1.0107239249637123,1.0113174245202523,1.0408321791298265,0.9368543856465402,1.0431456143534599,1,intermediate
0.995,1.0157293494349486,1.0163171959713482,1.045742889446727,0.941991649123722,1.0480083508762779,1,intermediate
1.0,1.020734714816245,1.0213169856540327,1.0506550343115586,0.947126000256065,1.052873999743935,1,intermediate
1.005,1.0257400219629254,1.0263167931080825,1.05556858002724,0.9522575330812106,1.0577424669187891,1,intermediate
1.01,1.0307452717167054,1.0313166178843876,1.0604834939252006,0.9573863375370596,1.0626136624629403,1,intermediate
1.015,1.035750464905855,1.0363164595446828,1.0653997443271566,0.9625124996875155,1.0674875003124844,1,intermediate
1.02,1.0407556023453683,1.0413163176612965,1.0703173005085513,0.9676361019331956,1.0723638980668044,1,intermediate
1.025,1.0457606848371197,1.0463161918169148,1.075236132663567,0.9727572232082766,1.0772427767917232,1,intermediate
1.03,1.0507657131700394,1.0513160816043272,1.0801562118716426,0.9778759391645525,1.0821240608354474,1,intermediate
1.035,1.0557706881202826,1.0563159866261875,1.0850775100654104,0.9829923223436728,1.087007677656327,1,intermediate
1.04,1.060775610451414,1.0613159064947932,1.09,0.9881064423384575,1.0918935576615427,1,intermediate
1.045,1.0657804809145617,1.0663158408318383,1.0949236552236261,0.993218365944095,1.096781634055905,1,intermediate
1.05,1.0707853002486227,1.0713157892682035,1.099848450049413,0.9983281572999748,1.1016718427000254,1,intermediate
1.055,1.0757900691804239,1.076315751443726,1.1047743595283874,1.0034358780228265,1.1065641219771734,1,universal_instability
1.06,1.0807947884248947,1.0813157270069786,1.1097013594235914,1.0085415873317987,1.1114584126682014,1,universal_instability
1.065,1.0857994586852604,1.0863157156150824,1.114629426185256,1.0136453421660412,1.1163546578339587,1,universal_instability
1.0699999999999998,1.0908040806532118,1.091315716933473,1.1195585369269927,1.0187471972953268,1.1212528027046729,1,universal_instability
1.075,1.0958086550090826,1.0963157306357099,1.1244886694029497,1.0238472054241876,1.1261527945758123,1,universal_instability
1.08,1.1008131824220344,1.1013157564032798,1.1294198019858905,1.0289454172900137,1.1310545827099865,1,universal_instability
1.085,1.1058176635502246,1.1063157939253925,1.1343519136461553,1.0340418817555297,1.1359581182444702,1,universal_instability
1.0899999999999999,1.1108220990409836,1.1113158428988108,1.1392849839314594,1.039136645896019,1.1408633541039808,1,universal_instability
1.095,1.1158264895309986,1.1163159030276444,1.1442189929474949,1.0442297550816508,1.1457702449183491,1,universal_instability
1.1,1.1208308356464747,1.1213159740231822,1.1491539213392958,1.0493212530552287,1.1506787469447715,1,universal_instability
1.105,1.125835138003312,1.1263160556037155,1.1540897502733358,1.054411182005663,1.155588817994337,1,universal_instability
1.1099999999999999,1.1308393972072828,1.1313161474943547,1.1590264614203247,1.0594995826374387,1.160500417362561,1,universal_instability
1.115,1.1358436138541865,1.1363162494268741,1.16396403693867,1.0645864942363361,1.1654135057636639,1,universal_instability
1.12,1.1408477885300359,1.141316361139539,1.1689024594585753,1.0696719547316427,1.1703280452683575,1,universal_instability
1.125,1.145851921811198,1.1463164823769478,1.1738417120667535,1.0747560007550707,1.1752439992449293,1,universal_instability
1.13,1.150856014264581,1.1513166128898746,1.1787817782917154,1.0798386676965932,1.1801613323034066,1,universal_instability
1.135,1.1558600664477847,1.1563167524351226,1.1837226420896225,1.0849199897573778,1.1850800102426222,1,universal_instability
1.1400000000000001,1.1608640789092546,1.161316900775359,1.1886642878306677,1.09,1.1900000000000002,1,universal_instability
1.145,1.1658680521884623,1.166317057678986,1.1936067002859694,1.095078730396102,1.194921269603898,1,universal_instability
1.15,1.1708719868160344,1.1713172229199926,1.198549864614954,1.1001562118716424,1.1998437881283575,1,universal_instability
1.155,1.1758758833139211,1.1763173962778142,1.2034937663532044,1.1052324743498863,1.2047675256501138,1,universal_instability
1.16,1.1808797421955362,1.1813175775371971,1.2084383914007568,1.1103075467922623,1.2096924532077376,1,universal_instability
1.165,1.1858835639659318,1.1863177664880755,1.2133837260108284,1.1153814572372156,1.2146185427627845,1,universal_instability
1.17,1.1908873491219116,1.1913179629254333,1.218329756778952,1.120454232837166,1.2195457671628338,1,universal_instability
1.1749999999999998,1.1958910981522008,1.1963181666491725,1.2232764706325088,1.1255258998936868,1.2244741001063129,1,universal_instability
1.18,1.2008948115375733,1.2013183774640215,1.2282238548206352,1.1305964838909965,1.2294035161090033,1,universal_instability
